,Unnamed: 0,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
10,19,Lisdexamfetamine Dimesylate,CC(CC1=CC=CC=C1)NC(=O)C(N)CCCCN,Hepatitis,Rat,-1.6020599913279625,Repeated,Oral,"FDA approval package document: Pharmacology Review 021977/S-000, page:155 PDF 20084k",https://www.pharmapendium.com/browse/fda/Lisdexamfetamine Dimesylate/346930b3697114b80f4b40b7749ab7f7?reference=155,2007
11,22,Methyl Aminolevulinate Hydrochloride,COC(=O)CCC(=O)CN,Hepatitis,Rat,-1.0,Repeated,Skin,"FDA approval package document: Medical/Clinical Review 021415/S-000, page:88 PDF 8861k",https://www.pharmapendium.com/browse/fda/Methyl Aminolevulinate Hydrochloride/205400cdd15a85be2b5b4e35f2861c3a?reference=88,2004
12,23,Midostaurin,COC1C(N(C)C(=O)C2=CC=CC=C2)CC2OC1(C)N1C3=C(C=CC=C3)C3=C4CNC(=O)C4=C4C5=C(C=CC=C5)N2C4=C31,Hepatitis,Rat,-2.4771212547196626,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/516229/2017; EMEA/H/C/004095/0000, page:37 PDF 7394k",https://www.pharmapendium.com/browse/ema/Midostaurin/7ca7a1ea535abba143f839369c00f2d4?reference=37,2017
13,24,Miglustat,CCCCN1CC(O)C(O)C(O)C1CO,Hepatitis,Rat,-2.255272505103306,Repeated,Oral,"FDA approval package document: Pharmacology Review 021348/S-000 Part 06, page:28 PDF 1650k",https://www.pharmapendium.com/browse/fda/Miglustat/b7a4c50745212fd4098382dd43f01114?reference=28,2003
14,25,Naloxegol Oxalate,C=CCN1CCC23C4=C5C=CC(O)=C4OC2C(OCCOCCOCCOCCOCCOCCOCCOC)CCC3(O)C1C5,Hepatitis,Mouse,-2.7269987279362624,Repeated,Oral,"FDA approval package document: Pharmacology Review 204760/S-000, page:98 PDF 33475k",https://www.pharmapendium.com/browse/fda/Naloxegol Oxalate/170cfe085c4dee733a6c9749a490c3d8?reference=98,2009
15,26,Nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],Hepatitis,Mouse,-2.2756951764686093,Repeated,Oral,"FDA approval package document: Approval Package 020146 Part 02, page:7 PDF 2764k",https://www.pharmapendium.com/browse/fda/Nitroglycerin/20e2cea614be690cced2760e91699579?reference=7,1993
16,27,Obeticholic Acid,CCC1C(O)C2C3CCC(C(C)CCC(=O)O)C3(C)CCC2C2(C)CCC(O)CC12,Hepatitis,Rat,-1.954242509439325,Repeated,Oral,"FDA approval package document: Pharmacology Review 207999/S-000 Part 03, page:54 PDF 13571k",https://www.pharmapendium.com/browse/fda/Obeticholic Acid/a2a2a577ec5b639dc211430b2c08567e?reference=54,2016
17,28,Olopatadine Hydrochloride,CN(C)CC/C=C1/C2=CC=CC=C2COC2=CC=C(CC(=O)O)C=C12,Hepatitis,Rat,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Pharmacology Review 021861/S-000 Part 02, page:2 PDF 518k",https://www.pharmapendium.com/browse/fda/Olopatadine Hydrochloride/32b25c99d12c9bb54ac02ca059726cb6?reference=2,2008
18,30,Oxymorphone Hydrochloride,CN1CCC23C4=C5C=CC(O)=C4OC2C(=O)CCC3(O)C1C5,Hepatitis,Rat,-1.8750612633917,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 021611/S-000; 021610/S-000 Part 04, page:3 PDF 6258k",https://www.pharmapendium.com/browse/fda/Oxymorphone Hydrochloride/a343e070725356f22663e148eecbbab8?reference=3,2003
19,31,Panobinostat Lactate,CC1=C(CCNCC2=CC=C(/C=C/C(O)=NO)C=C2)C2=CC=CC=C2N1,Hepatitis,Rat,-1.8750612633917,Repeated,Oral,"FDA approval package document: Pharmacology Review 205353/S-000 Part 04, page:31 PDF 7103k",https://www.pharmapendium.com/browse/fda/Panobinostat Lactate/93a6ce3815ea8f77b8473ad78e3e8b77?reference=31,2014
20,34,Pyridostigmine Bromide,CN(C)C(=O)OC1=C[N+](C)=CC=C1,Hepatitis,Rat,-0.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 020414/S-000 Part 05, page:25 PDF 1536k",https://www.pharmapendium.com/browse/fda/Pyridostigmine Bromide/db39281bfadf271c420b2d99552b47cf?reference=25,1996
21,35,Quinine Sulfate,C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12,Hepatitis,Rat,-2.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 021799/S-000, page:34 PDF 4073k",https://www.pharmapendium.com/browse/fda/Quinine Sulfate/d8d44fcbc384ab756b1af701c59aaa97?reference=34,2005
22,36,Ramelteon,CCC(=O)NCCC1CCC2=CC=C3OCCC3=C21,Hepatitis,Rat,-3.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 021782/S-000, page:231 PDF 22920k",https://www.pharmapendium.com/browse/fda/Ramelteon/e747eec7ca64f09ae8c52babd18274c4?reference=231,2004
23,38,Ribavirin,NC(=O)C1=NN(C2OC(CO)C(O)C2O)C=N1,Hepatitis,Rat,-2.204119982655925,Repeated,Oral,"FDA approval package document: Pharmacology Review 020903, page:17 PDF 3578k",https://www.pharmapendium.com/browse/fda/Ribavirin/532e0868cbbe27fc31acf48eb519ab62?reference=17,1998
24,39,Rifabutin,COC1/C=C/OC2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C1=NC3(CCN(CC(C)C)CC3)N=C12,Hepatitis,Mouse,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Pharmacology Review 050689, page:6 PDF 2343k",https://www.pharmapendium.com/browse/fda/Rifabutin/8482c5f11425fc4dae4408390a2a35cf?reference=6,1992
25,42,Ritonavir,CC(C)C1=NC(CN(C)C(=O)NC(C(=O)NC(CC2=CC=CC=C2)CC(O)C(CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)C(C)C)=CS1,Hepatitis,Rat,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 020659, page:13 PDF 2500k",https://www.pharmapendium.com/browse/fda/Ritonavir/73d0c1aae62a1c01de24d981e01437d9?reference=13,1995
26,47,Stavudine,CC1=CN(C2C=CC(CO)O2)C(=O)NC1=O,Hepatitis,Rat,-3.263241434774581,Repeated,Oral,"FDA approval package document: Review 020412 Part 01, page:19 PDF 1757k",https://www.pharmapendium.com/browse/fda/Stavudine/2e153eba867968d9ac5818031c9fd28c?reference=19,1993
27,48,Sumatriptan Succinate,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,Hepatitis,Rat,-1.806179973983887,Repeated,Subcutaneous,"FDA approval package document: Pharmacology Review 020080 Part 08, page:4 PDF 985k",https://www.pharmapendium.com/browse/fda/Sumatriptan Succinate/7223079cd62e1b72cad85ad4e964dbde?reference=4,1991
28,49,Tasimelteon,CCC(=O)NCC1CC1C1=C2CCOC2=CC=C1,Hepatitis,Rat,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Pharmacology Review 205677/S-000 Part 01, page:55 PDF 12454k",https://www.pharmapendium.com/browse/fda/Tasimelteon/28a85b194d85648bbc6e12b04df9080c?reference=55,2014
29,52,Trilaciclib Dihydrochloride,CN1CCN(C2=CN=C(NC3=NC=C4C=C5C(=O)NCC6(CCCCC6)N5C4=N3)C=C2)CC1,Hepatitis,Rat,-1.0,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 214200/S-000 Part 02, page:10 PDF 3472k",https://www.pharmapendium.com/browse/fda/Trilaciclib Dihydrochloride/4b8f6ae0744743e5fcd2d7772222f4cd?reference=10,2021
30,53,Trospium Chloride,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Hepatitis,Mouse,-0.3010299956639812,Repeated,Oral,"FDA approval package document: Pharmacology Review 021595/S-000, page:38 PDF 1429k",https://www.pharmapendium.com/browse/fda/Trospium Chloride/6ea28b2f40d348dd2b555b41efeeaabb?reference=38,2003
31,55,Valproate Sodium,CCCC(CCC)C(=O)O,Hepatitis,Rat,-1.1760912590556811,Repeated,Intraperitoneal,Reference from PharmaPendium Published Toxicity: 621155033   ---   DOI:10.1111/nep.13012   ISSN:1320-5358   JOURNAL:Nephrology   PAGES:351   VOLUME:23,http://dx.doi.org/10.1111/nep.13012,2018
32,56,Volanesorsen,COCCOC1C(O)C(COP(=O)(S)OC2C(COP(=O)(S)OC3C(COP(=O)(S)OC4C(COP(=O)(S)OC5C(COP(=O)(S)OC6CC(N7C=C(C)C(N)=NC7=O)OC6COP(=O)(S)OC6CC(N7C=NC8=C7N=C(N)NC8=O)OC6COP(=O)(S)OC6CC(N7C=NC8=C7N=CN=C8N)OC6COP(=O)(S)OC6CC(N7C=C(C)C(N)=NC7=O)OC6COP(=O)(S)OC6CC(N7C=C(C)C(N)=NC7=O)OC6COP(=O)(S)OC6CC(N7C=C(C)C(=O)NC7=O)OC6COP(=O)(S)OC6CC(N7C=NC8=C7N=C(N)NC8=O)OC6COP(=O)(S)OC6CC(N7C=C(C)C(=O)NC7=O)OC6COP(=O)(S)OC6CC(N7C=C(C)C(=O)NC7=O)OC6COP(=O)(S)OC6CC(N7C=C(C)C(N)=NC7=O)OC6COP(=O)(S)OC6C(COP(=O)(S)OC7C(COP(=O)(S)OC8C(COP(=O)(S)OC9C(COP(=O)(S)OC%10C(CO)OC(N%11C=NC%12=C%11N=CN=C%12N)C%10OCCOC)OC(N%10C=NC%11=C%10N=C(N)NC%11=O)C9OCCOC)OC(N9C=C(C)C(N)=NC9=O)C8OCCOC)OC(N8C=C(C)C(=O)NC8=O)C7OCCOC)OC(N7C=C(C)C(=O)NC7=O)C6OCCOC)OC(N6C=C(C)C(=O)NC6=O)C5OCCOC)OC(N5C=C(C)C(=O)NC5=O)C4OCCOC)OC(N4C=C(C)C(=O)NC4=O)C3OCCOC)OC(N3C=NC4=C3N=CN=C4N)C2OCCOC)OC1N1C=C(C)C(=O)NC1=O,Hepatitis,Mouse,-0.6020599913279624,Repeated,Subcutaneous,"EMA approval document: Public Assessment Report EMA/180717/2019; EMEA/H/C/004538/0000, page:33 PDF 2540k",https://www.pharmapendium.com/browse/ema/Volanesorsen/ffed6226a16c8c31a83ba8bf3f4abd39?reference=33,2019
33,57,Vortioxetine Hydrobromide,CC1=CC(C)=C(SC2=CC=CC=C2N2CCNCC2)C=C1,Hepatitis,Mouse,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 204447/S-000 Part 01, page:92 PDF 8806k",https://www.pharmapendium.com/browse/fda/Vortioxetine Hydrobromide/e45e9e6167d7c8df7a2d36a610931d77?reference=92,2013
