,Unnamed: 0,Unnamed: 0.1,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
10,12,49,Albendazole,CCCSC1=CC2=C(C=C1)NC(NC(=O)OC)=N2,Liver disorder,Rat,-0.4771212547196624,Repeated,Intraperitoneal,"Reference from PharmaPendium Published Toxicity: Environmental Toxicology and Pharmacology 9,31,2000   ---   DOI:10.1016/S1382-6689(00)00059-4   ISSN:1382-6689   JOURNAL:Environmental Toxicology and Pharmacology   PAGES:31   VOLUME:9",http://dx.doi.org/10.1016/S1382-6689(00)00059-4,2000.0
11,14,53,Alcohol,CCO,Liver disorder,Rat,-5.696590845287982,Repeated,Intragastric,Reference from PharmaPendium Published Toxicity: 362085967   ---   DOI:10.1111/j.1472-8206.2010.00861.x   ISSN:0767-3981   JOURNAL:Fundamental and Clinical Pharmacology   PAGES:493   VOLUME:25,http://dx.doi.org/10.1111/j.1472-8206.2010.00861.x,2011.0
12,15,96,Alectinib Hydrochloride,CCC1=CC2=C(C=C1N1CCC(N3CCOCC3)CC1)C(C)(C)C1=C(C2=O)C2=C(C=C(C#N)C=C2)N1,Liver disorder,Rat,-1.1613680022349748,Repeated,Oral,"FDA approval package document: Pharmacology Review 208434/S-000, page:140 PDF 18427k",https://www.pharmapendium.com/browse/fda/Alectinib Hydrochloride/58836d69022270b42fe1db46093ae15f?reference=140,2015.0
13,16,98,Alfuzosin Hydrochloride,COC1=CC2=NC(N(C)CCCNC(=O)C3CCCO3)=NC(N)=C2C=C1OC,Liver disorder,Rat,-2.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 021287/S-000 Part 01, page:43 PDF 1318k",https://www.pharmapendium.com/browse/fda/Alfuzosin Hydrochloride/e0725d4b1356803a41d34119e5da56f6?reference=43,2003.0
14,17,99,Aliskiren Hemifumarate,COCCCOC1=C(OC)C=CC(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)=C1,Liver disorder,Rat,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 021985/S-000 Part 02, page:65 PDF 5830k",https://www.pharmapendium.com/browse/fda/Aliskiren Hemifumarate/fd0a434195f39a82aca9da1103e97ffb?reference=65,2007.0
15,18,100,Alitretinoin,CC(C=C/C=C(C)\C=C\C1=C(C)CCCC1(C)C)=CC(=O)O,Liver disorder,Rat,-0.0,Repeated,Oral,"EMA approval document: Scientific Discussion, page:4 PDF 802k",https://www.pharmapendium.com/browse/ema/Alitretinoin/35e2d050a2821eeeeb5df75b94b78b19?reference=4,2004.0
16,19,101,Allopurinol,O=C1NC=NC2=C1C=NN2,Liver disorder,Mouse,-0.4771212547196624,Repeated,Oral,"Reference from PharmaPendium Published Toxicity: Biological and Pharmaceutical Bulletin (Tokyo 150, Japan) 30,1551,2007   ---   DOI:10.1248/BPB.30.1551   JOURNAL:Biological and Pharmaceutical Bulletin   PAGES:1551   VOLUME:30",http://dx.doi.org/10.1248/BPB.30.1551,2007.0
17,20,102,Almotriptan Malate,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,Liver disorder,Rat,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 021001/S-000 Part 01, page:15 PDF 1950k",https://www.pharmapendium.com/browse/fda/Almotriptan Malate/65a4fd1f91a6b2d9de68e8285c53b339?reference=15,1997.0
18,21,104,Alogliptin Benzoate,CN1C(=O)C=C(N2CCCC(N)C2)N(CC2=C(C#N)C=CC=C2)C1=O,Liver disorder,Rat,-3.014205413953746,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/207780/2013; EMEA/H/C/002182/0000, page:21 PDF 1425k",https://www.pharmapendium.com/browse/ema/Alogliptin Benzoate/aaa83508c16f9bd37e0b093390ff83e5?reference=21,2013.0
19,24,121,Amdinocillin,CC1(C)SC2C(/N=C/N3CCCCCC3)C(=O)N2C1C(=O)O,Liver disorder,Rat,-4.116441697539312,Repeated,,"Reference from PharmaPendium Published Toxicity: Eksperimental'naya i Klinicheskaya Farmakoterapiya 9,91,1980   ---   ISSN:0367-0589   JOURNAL:Eksperimental'naya i Klinicheskaya Farmakoterapiya   PAGES:91   VOLUME:9",,1980.0
20,25,123,Amifampridine,NC1=CC=NC=C1N,Liver disorder,Rat,-1.568201724066995,Repeated,Oral,"FDA approval package document: Pharmacology Review 020932/S-000, page:26 PDF 9788k",https://www.pharmapendium.com/browse/fda/Amifampridine/8fae6984103cb80815b863ccaae6a548?reference=26,2019.0
21,26,128,Amifampridine Phosphate,NC1=C(N)C=NC=C1,Liver disorder,Mouse,-1.568201724066995,Repeated,Oral,"FDA approval package document: Pharmacology Review 020932/S-000, page:22 PDF 9788k",https://www.pharmapendium.com/browse/fda/Amifampridine Phosphate/8fae6984103cb80815b863ccaae6a548?reference=22,2019.0
22,27,133,Amikacin Sulfate,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,Liver disorder,Rat,-1.146128035678238,Repeated,Intramuscular,Reference from PharmaPendium Published Toxicity: 362609954   ---   ISSN:1827-8620   JOURNAL:Pharmacologyonline   PAGES:451   VOLUME:2,,2011.0
23,28,134,Aminoglutethimide,CCC1(C2=CC=C(N)C=C2)CCC(=O)NC1=O,Liver disorder,Rat,-1.7745169657285496,Repeated,Oral,"FDA approval package document: Approval Package 018202/S-014 Part 01, page:26 PDF 4351k",https://www.pharmapendium.com/browse/fda/Aminoglutethimide/261e6bcd70ef7293ed647d32e5e8ca20?reference=26,1979.0
24,29,138,Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Liver disorder,Rat,-1.4825162866063686,Repeated,Unreported,"FDA approval package document: Approval Package 018972/S-014 Part 13, page:36 PDF 4900k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/f4944cf744f11785c20123f7038cc342?reference=36,1983.0
25,30,146,Amisulpride,CCN1CCCC1CNC(=O)C1=CC(S(=O)(=O)CC)=C(N)C=C1OC,Liver disorder,Rat,-1.0,Repeated,Intravenous,"FDA approval package document: Approval Package 209510/S-000 Part 05, page:31 PDF 1020k",https://www.pharmapendium.com/browse/fda/Amisulpride/2f496958625a36ff59ac65f88cc2dc87?reference=31,2018.0
26,31,147,Amitriptyline Hydrochloride,CN(C)CCC=C1C2=C(C=CC=C2)CCC2=C1C=CC=C2,Liver disorder,Rat,-1.0280287236002437,Repeated,Intragastric,Reference from PharmaPendium Published Toxicity: 2005119040   ---   DOI:10.1016/j.toxlet.2020.02.007   ISSN:0378-4274   JOURNAL:Toxicology Letters   PAGES:43   VOLUME:325,http://dx.doi.org/10.1016/j.toxlet.2020.02.007,2020.0
27,33,152,Ammonium Sulfate,O=S(=O)(O)O,Liver disorder,Rat,-0.8450980400142568,Repeated,Intraperitoneal,Reference from PharmaPendium Published Toxicity: 368838235   ---   ISSN:0975-6299   JOURNAL:International Journal of Pharma and Bio Sciences   VOLUME:4,,2013.0
28,35,155,Amphotericin B,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,Liver disorder,Rat,-1.0,Repeated,Intravenous,"FDA approval package document: Approval Package 050724 Part 02, page:67 PDF 5905k",https://www.pharmapendium.com/browse/fda/Amphotericin B/a0fb7f56d6dd1ca570987dce7397b902?reference=67,1995.0
29,37,160,Ampicillin,CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(=O)O,Liver disorder,Rat,-0.4771212547196624,Repeated,Intragastric,Reference from PharmaPendium Published Toxicity: 610250096   ---   DOI:10.4314/tjpr.v15i4.6   ISSN:1596-5996   JOURNAL:Tropical Journal of Pharmaceutical Research   PAGES:709   VOLUME:15,http://dx.doi.org/10.4314/tjpr.v15i4.6,2016.0
30,38,161,Anesthetic Ether,CCOCC,Liver disorder,Rat,-1.954242509439325,Repeated,Oral,"Reference from PharmaPendium Published Toxicity: U.S. Environmental Protection Agency; High Production Volume (HPV) Challenge; Ethane,1,1'-oxybis-.pdf (http://www.epa.gov/HPV/pubs/summaries/viewsrch.htm) -,-,2003   ---   JOURNAL:US EPA, HPV (http://www.epa.gov/hpv/pubs/summaries/eth11oxy/c15001tc.htm)",,2003.0
31,39,162,Anidulafungin,CCCCCOC1=CC=C(C2=CC=C(C3=CC=C(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)C5=CC=C(O)C=C5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)C=C3)C=C2)C=C1,Liver disorder,Rat,-1.6766936096248666,Repeated,Intravenous,"EMA approval document: Scientific Discussion, page:7 PDF 244k",https://www.pharmapendium.com/browse/ema/Anidulafungin/78c7472ed35b0e6fd66deb769a7501a5?reference=7,2007.0
32,42,171,Apremilast,CCOC1=C(OC)C=CC(C(CS(C)(=O)=O)N2C(=O)C3=CC=CC(NC(C)=O)=C3C2=O)=C1,Liver disorder,Mouse,-2.740362689494244,Repeated,Oral,"FDA approval package document: Pharmacology Review 205437/S-000 Part 04, page:24 PDF 15043k",https://www.pharmapendium.com/browse/fda/Apremilast/640f8cdc51359cc04d02fbdc43b32379?reference=24,2014.0
33,44,178,Arformoterol Tartrate,COC1=CC=C(CC(C)NCC(O)C2=CC=C(O)C(NC=O)=C2)C=C1,Liver disorder,Mouse,-6.875061408156503,Repeated,Oral,"FDA approval package document: Pharmacology Review 021912/S-000 Part 05, page:57 PDF 6862k",https://www.pharmapendium.com/browse/fda/Arformoterol Tartrate/d86103401d474f47d32ccc716b372604?reference=57,2006.0
34,46,207,Armodafinil,NC(=O)C[S+]([O-])C(C1=CC=CC=C1)C1=CC=CC=C1,Liver disorder,Rat,-2.12057393120585,Repeated,Oral,"FDA approval package document: Pharmacology Review 021875/S-000, page:51 PDF 4896k",https://www.pharmapendium.com/browse/fda/Armodafinil/2021a1eaa664af7eee35442a36027c5f?reference=51,2006.0
35,47,216,Artemether,COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,Liver disorder,Rat,-1.3222192947339193,Repeated,Intragastric,"Reference from PharmaPendium Published Toxicity: 368722011   ---   DOI:10.1002/bdrb.21054   ISSN:1542-9733   JOURNAL:Birth Defects Research. Part B, Developmental and Reproductive Toxicology   PAGES:183   VOLUME:98",http://dx.doi.org/10.1002/bdrb.21054,2013.0
36,48,218,Artesunate,CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,Liver disorder,Mouse,-1.2471546148811268,Repeated,Unreported,Reference from PharmaPendium Published Toxicity: 605203129   ---   DOI:10.1016/j.mrgentox.2014.11.001   ISSN:1383-5718   JOURNAL:Mutation Research - Genetic Toxicology and Environmental Mutagenesis   PAGES:1   VOLUME:777,http://dx.doi.org/10.1016/j.mrgentox.2014.11.001,2015.0
37,49,221,Ascorbic Acid,OCC(O)C1=C(O)C(O)=C(O)O1,Liver disorder,Rat,-1.5314789170422551,Repeated,Oral,"Reference from PharmaPendium Published Toxicity: Toxicology 188,117,2003   ---   DOI:10.1016/S0300-483X(03)00056-8   ISSN:0300-483X   JOURNAL:Toxicology   PAGES:117   VOLUME:188",http://dx.doi.org/10.1016/S0300-483X(03)00056-8,2003.0
38,50,224,Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,Liver disorder,Rat,-1.0253058652647702,Repeated,Oral,Reference from PharmaPendium Published Toxicity: 52991863   ---   DOI:10.1016/j.biomag.2014.01.004   ISSN:2210-5220   JOURNAL:Biomedicine and Aging Pathology   PAGES:137   VOLUME:4,http://dx.doi.org/10.1016/j.biomag.2014.01.004,2014.0
39,52,230,Atazanavir Sulfate,COC(=O)NC(C(=O)NC(CC1=CC=CC=C1)C(O)CN(CC1=CC=C(C2=NC=CC=C2)C=C1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,Liver disorder,Mouse,-2.5921767573958667,Repeated,Oral,"Reference from PharmaPendium Published Toxicity: Toxicologist 44,363,2005   ---   ISSN:0731-9193   JOURNAL:Toxicologist   PAGES:363   VOLUME:44",,2005.0
40,55,244,Atropine Sulfate,CN1C2CCC1CC(OC(=O)C(CO)C1=CC=CC=C1)C2,Liver disorder,Rat,-1.235528446907549,Repeated,Intraperitoneal,"FDA approval package document: Pharmacology Review 206289/S-000 Part 04, page:17 PDF 382k",https://www.pharmapendium.com/browse/fda/Atropine Sulfate/2a2c7a74cc4a926793accbc4aed29a5f?reference=17,2013.0
41,58,264,Avobenzone,COC1=CC=C(C(=O)CC(=O)C2=CC=C(C(C)(C)C)C=C2)C=C1,Liver disorder,Rat,-3.0,Repeated,Oral,"FDA approval package document: Review 020045, page:13 PDF 640k",https://www.pharmapendium.com/browse/fda/Avobenzone/1ba0ad145918a8be8f01db0fb944c3e2?reference=13,1987.0
42,59,265,Axitinib,CNC(=O)C1=C(SC2=CC3=NNC(C=CC4=NC=CC=C4)=C3C=C2)C=CC=C1,Liver disorder,Mouse,-1.9420080530223127,Repeated,Oral,"FDA approval package document: Pharmacology Review 202324/S-000 Part 06, page:7 PDF 382k",https://www.pharmapendium.com/browse/fda/Axitinib/3e8dfc89220ddd11838bc9d1d2dc703d?reference=7,2012.0
43,60,267,Azathioprine,CN1C=NC([N+](=O)[O-])=C1SC1=NC=NC2=C1N=CN2,Liver disorder,Mouse,-0.7781512503836436,Repeated,Oral,Reference from PharmaPendium Published Toxicity: E-370330890   ---   DOI:10.1016/j.toxlet.2013.10.025   ISSN:1879-3169   JOURNAL:Toxicology Letters   PAGES:215   VOLUME:224,http://dx.doi.org/10.1016/j.toxlet.2013.10.025,2014.0
44,62,271,Azilsartan Kamedoxomil,CCOC1=NC2=CC=CC(C(=O)OCC3=C(C)OC(=O)O3)=C2N1CC1=CC=C(C2=CC=CC=C2C2=NC(O)ON2)C=C1,Liver disorder,Rabbit,-1.3979400086720375,Repeated,Oral,"FDA approval package document: Pharmacology Review 200796/S-000 Part 02, page:40 PDF 5204k",https://www.pharmapendium.com/browse/fda/Azilsartan Kamedoxomil/5d997bf184c8cbfb579cc91fed19ad0c?reference=40,2010.0
45,63,273,Azithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,Liver disorder,Mouse,-1.8893017025063104,Repeated,Intraperitoneal,Reference from PharmaPendium Published Toxicity: 2006942899   ---   DOI:10.1016/j.bcp.2020.114130   ISSN:0006-2952   JOURNAL:Biochemical Pharmacology   PAGES:114130   VOLUME:180,http://dx.doi.org/10.1016/j.bcp.2020.114130,2020.0
46,64,275,Aztreonam,CC1C(=NC(=O)C(NOC(C)(C)C(=O)O)C2=CSC(N)=N2)C(=O)N1S(=O)(=O)O,Liver disorder,Rat,-3.255272505103306,Repeated,Subcutaneous,"FDA approval package document: Approval Package 050580 Part 04, page:48 PDF 6472k",https://www.pharmapendium.com/browse/fda/Aztreonam/7b921af7cebff9f1cb6a52238d057819?reference=48,1986.0
47,66,280,Baricitinib,CCS(=O)(=O)N1CC(CC#N)(N2C=C(C3=C4C=CNC4=NC=N3)C=N2)C1,Liver disorder,Mouse,-1.8808135922807916,Repeated,Oral,"FDA approval package document: Pharmacology Review 207924/S-000 Part 23, page:2 PDF 381k",https://www.pharmapendium.com/browse/fda/Baricitinib/11bacd65f5b48bf3a4448a1c8063e8ac?reference=2,2016.0
48,69,291,Belinostat,O=S(=O)(NC1=CC=CC=C1)C1=CC(/C=C/C(O)=NO)=CC=C1,Liver disorder,Rat,-2.0,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 206256/S-000, page:77 PDF 11976k",https://www.pharmapendium.com/browse/fda/Belinostat/c77bbad74ba39672782a4458a4dd7e38?reference=77,2014.0
49,70,292,Bempedoic Acid,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,Liver disorder,Rat,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 211616/S-000 Part 08, page:18 PDF 849k",https://www.pharmapendium.com/browse/fda/Bempedoic Acid/ab62f621ee1b630854d8da3ece6dda69?reference=18,2019.0
50,73,296,Benznidazole,O=C(CN1C=CN=C1[N+](=O)[O-])NCC1=CC=CC=C1,Liver disorder,Rabbit,-1.213074825308851,Repeated,Oral,"FDA approval package document: Pharmacology Review 209570/S-000 Part 01, page:90 PDF 11345k",https://www.pharmapendium.com/browse/fda/Benznidazole/ea6c524b79d1ed8cd262a8adc8124792?reference=90,2017.0
51,74,299,Benzophenone,O=C(C1=CC=CC=C1)C1=CC=CC=C1,Liver disorder,Rat,-0.4771212547196624,Repeated,Intraperitoneal,"Reference from PharmaPendium Published Toxicity: Toxicology and Applied Pharmacology 193,66,2003   ---   DOI:10.1016/J.TAAP.2003.08.001   ISSN:0041-008X   JOURNAL:Toxicology and Applied Pharmacology   PAGES:66   VOLUME:193",http://dx.doi.org/10.1016/J.TAAP.2003.08.001,2003.0
52,75,301,Benzoyl Peroxide,O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,Liver disorder,Mouse,-1.6232492903979006,Repeated,Oral,Reference from PharmaPendium Published Toxicity: 51362382   ---   DOI:10.1016/j.etap.2011.03.009   ISSN:1382-6689   JOURNAL:Environmental Toxicology and Pharmacology   PAGES:479   VOLUME:31,http://dx.doi.org/10.1016/j.etap.2011.03.009,2011.0
53,76,302,Benzylpenicillin,CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C(=O)O,Liver disorder,Mouse,-0.7781512503836436,Repeated,Oral,Reference from PharmaPendium Published Toxicity: 2000792357   ---   DOI:10.1016/j.chemosphere.2018.03.066   ISSN:0045-6535   JOURNAL:Chemosphere   PAGES:757   VOLUME:202,http://dx.doi.org/10.1016/j.chemosphere.2018.03.066,2018.0
54,78,304,"Betaine, Anhydrous",C[N+](C)(C)CC(=O)[O-],Liver disorder,Mouse,-1.146128035678238,Repeated,Oral,"Reference from PharmaPendium Published Toxicity: Toxicologist 44,393,2005   ---   ISSN:0731-9193   JOURNAL:Toxicologist   PAGES:393   VOLUME:44",,2005.0
55,82,312,Bexarotene,C=C(C1=CC=C(C(=O)O)C=C1)C1=C(C)C=C2C(=C1)C(C)(C)CCC2(C)C,Liver disorder,Mouse,-0.9030899869919436,Repeated,Oral,Reference from PharmaPendium Published Toxicity: 607343759   ---   DOI:10.1016/j.expneurol.2015.12.003   ISSN:0014-4886   JOURNAL:Experimental Neurology   PAGES:1   VOLUME:277,http://dx.doi.org/10.1016/j.expneurol.2015.12.003,2016.0
56,86,321,Bisoprolol Fumarate,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,Liver disorder,Rat,-2.026328938722349,Repeated,Oral,"FDA approval package document: Approval Package 019982/S-001 Part 04, page:16 PDF 5638k",https://www.pharmapendium.com/browse/fda/Bisoprolol Fumarate/7c49937d2aea8b01f741768995f98fd7?reference=16,1992.0
57,87,325,Bleomycin Sulfate,CC1=C(C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCC2=NC(C3=NC=C(C(N)=O)S3)=CS2)C(C)O)C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(OC(N)=O)C2O)C2=CNC=N2)N=C(C(CC(N)=O)NCC(N)C(N)=O)N=C1N,Liver disorder,Rat,-0.6532125137753437,Repeated,Intraperitoneal,"FDA approval package document: Approval Package 050443 Part 01, page:27 PDF 3748k",https://www.pharmapendium.com/browse/fda/Bleomycin Sulfate/19bfc8f11930266e8d7842c8409c0fd8?reference=27,1973.0
58,88,327,Boceprevir,CC(C)(C)NC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,Liver disorder,Mouse,-2.592916611888093,Repeated,Oral,"FDA approval package document: Pharmacology Review 202258/S-000 Part 02, page:8 PDF 902k",https://www.pharmapendium.com/browse/fda/Boceprevir/c5550a5ea2e47ac009239c204de63791?reference=8,2011.0
59,91,339,Bremelanotide Acetate,CCCCC(NC(C)=O)C(=O)NC1CC(=O)NCCCCC(C(=O)O)NC(=O)C(CC2=CNC3=C2C=CC=C3)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CNC=N2)NC1=O,Liver disorder,Mouse,-1.8750612633917,Repeated,Subcutaneous,"FDA approval package document: Approval Package 210557/S-000 Part 09, page:20 PDF 9986k",https://www.pharmapendium.com/browse/fda/Bremelanotide Acetate/a8d65325f36d32fe8e0ad79ad1236cbf?reference=20,2018.0
60,92,341,Brexanolone,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,Liver disorder,Rabbit,-1.1760912590556811,Repeated,Intravenous,"FDA approval package document: Approval Package 211371/S-000 Part 02, page:45 PDF 10413k",https://www.pharmapendium.com/browse/fda/Brexanolone/04fcc70ce29c52cd3ab790307f20bf51?reference=45,2018.0
61,93,342,Brexpiprazole,O=C1C=CC2=CC=C(OCCCCN3CCN(C4=C5C=CSC5=CC=C4)CC3)C=C2N1,Liver disorder,Rabbit,-2.099384632135912,Repeated,Oral,"FDA approval package document: Pharmacology Review 205422/S-000 Part 03, page:52 PDF 7660k",https://www.pharmapendium.com/browse/fda/Brexpiprazole/70aee4e8a97fd2fdcdd25e7a34c3ff7a?reference=52,2014.0
62,95,351,Budesonide,CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,Liver disorder,Rat,-8.0,Repeated,Subcutaneous,"FDA approval package document: Pharmacology Review 205613/S-000, page:84 PDF 12388k",https://www.pharmapendium.com/browse/fda/Budesonide/bd4d8add95e11b989fedcf5e8aabeae7?reference=84,2014.0
63,96,352,Bumetanide,CCCCNC1=CC(C(=O)O)=CC(S(N)(=O)=O)=C1OC1=CC=CC=C1,Liver disorder,Rat,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Approval Package 018225; 018226 Part 04, page:17 PDF 4352k",https://www.pharmapendium.com/browse/fda/Bumetanide/7d3f083cc221761368a8417c279d49cb?reference=17,1994.0
64,97,353,Buprenorphine,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1CC4=CC=C(O)C5=C4C3(CCN1CC1CC1)C2O5,Liver disorder,Rat,-0.8239087409443188,Repeated,Subcutaneous,"FDA approval package document: Pharmacology Review 209819/S-000 Part 03, page:14 PDF 6208k",https://www.pharmapendium.com/browse/fda/Buprenorphine/21120bffdff35b6708127a237f1744af?reference=14,2017.0
65,100,362,Buspirone Hydrochloride,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(C2=NC=CC=N2)CC1,Liver disorder,Rat,-2.255272505103306,Repeated,Oral,"FDA approval package document: Approval Package 018731/S-025, S-027, S-031, S-018 Part 04, page:18 PDF 5249k",https://www.pharmapendium.com/browse/fda/Buspirone Hydrochloride/94a5c4d35026cb4c0ae15665ae80f77b?reference=18,1996.0
