Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Ciprofloxacin Hydrochloride,OC(=O)C1=CN(C2CC2)C2=C(C=C(F)C(=C2)N2CCNCC2)C1=O,Hepatic necrosis,Human,-3.3010299956639813,Repeated,Intravenous,"FDA approval package document: Approval Package 019847/S-026; 019857/S-028; 019858/S-022, page:52 PDF 6850k",https://www.pharmapendium.com/browse/fda/Ciprofloxacin Hydrochloride/27e96d771f0e78dd198161aecab1de5a?reference=52,2002.0,OC(=O)C1=CN(C2CC2)C2=C(C=C(F)C(=C2)N2CCNCC2)C1=O
Citalopram Hydrobromide,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,Hepatic necrosis,Human,-1.7781512503836436,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020822/S-000 Part 04, page:2 PDF 1014k",https://www.pharmapendium.com/browse/fda/Citalopram Hydrobromide/add4a00a2cd8ac4af89f5e7f89bd2d8e?reference=2,1998.0,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
Clozapine,CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2,Hepatic necrosis,Human,-2.9542425094393248,Repeated,Oral,"FDA approval package document: Label 203479/S-000, page:27 PDF 1267k",https://www.pharmapendium.com/browse/fda/Clozapine/107c277867a1040822f8ad90fa780b3d?reference=27,2013.0,CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2
Cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,Hepatic necrosis,Human,-1.6989700043360187,Repeated,Oral,Reference from PharmaPendium Published Toxicity: cyclophosphamide-0078a   ---   JOURNAL:British Medical Journal   PAGES:588   VOLUME:3,,1970.0,ClCCN(CCCl)P1(=O)NCCCO1
Desloratadine,ClC1=CC2=C(C=C1)\C(=C1\CCNCC1)C1=C(CC2)C=CC=N1,Hepatic necrosis,Human,-0.6989700043360189,Repeated,Oral,"EMA approval document: Procedural Steps EMA/85131/202, page:17 PDF 309k",https://www.pharmapendium.com/browse/ema/Desloratadine/d20b6065bc6c1dbf415ecc55c8ed630a?reference=17,2021.0,ClC1=CC2=C(C=C1)\C(=C1\CCNCC1)C1=C(CC2)C=CC=N1
Diazepam,CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C12,Hepatic necrosis,Human,-1.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 013263/S-003, S-008, S-019, S-040, S-041, S-042, S-043, S-046, S-049, S-054; 016087/S-040, S-042, S-045; 017984/S-010; 018179/S-001 Part 02, page:25 PDF 5421k",https://www.pharmapendium.com/browse/fda/Diazepam/ac9c225b3c0577ecf9a7cb5b9d8cc553?reference=25,1963.0,CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C12
Diclofenac,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatic necrosis,Human,-0.47712125471966244,Repeated,Oral,"FDA approval package document: Approval Package 204592/S-002 Part 02, page:7 PDF 327k",https://www.pharmapendium.com/browse/fda/Diclofenac/ee971ade0f09a16e64abb5acbe9e0ad6?reference=7,2014.0,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Diclofenac Potassium,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatic necrosis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Label 022165/S-000, page:5 PDF 1056k",https://www.pharmapendium.com/browse/fda/Diclofenac Potassium/bee628ad74512445c9862588c833927f?reference=5,2009.0,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Dolutegravir Sodium,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C([O-])=C3C(=O)N1[C@H](C)CCO2,Hepatic necrosis,Human,-2.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 204790 Part 04, page:12 PDF 7848k",https://www.pharmapendium.com/browse/fda/Dolutegravir Sodium/1ad0a2b9727ce58261902f144c3cb335?reference=12,2012.0,[H][C]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C([O-])=C3C(=O)N1[CH](C)CCO2
Doravirine,CN1C(=O)NN=C1CN1C=CC(=C(OC2=CC(=CC(Cl)=C2)C#N)C1=O)C(F)(F)F,Hepatic necrosis,Human,-2.0,Repeated,Oral,"FDA approval package document: Approval Package 210806/S-000 Part 06, page:38 PDF 11051k",https://www.pharmapendium.com/browse/fda/Doravirine/7babb97ed6a4ea205e52af3956344af6?reference=38,2018.0,CN1C(=O)NN=C1CN1C=CC(=C(OC2=CC(=CC(Cl)=C2)C#N)C1=O)C(F)(F)F
Etodolac,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O,Hepatic necrosis,Human,-3.0,Repeated,Oral,"FDA approval package document: Approval Package 018922/S-007, S-008, S-013, S-014, S-015 Part 26, page:15 PDF 6654k",https://www.pharmapendium.com/browse/fda/Etodolac/cf790bf1f865041d2f2acca39e9be5e3?reference=15,1991.0,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O
Famotidine,N\C(N)=N/C1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1,Hepatic necrosis,Human,-0.3010299956639812,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020325/S-015, page:9 PDF 7378k",https://www.pharmapendium.com/browse/fda/Famotidine/5fa81e4ff6a2de8756c46a0ad36748f1?reference=9,2002.0,N\C(N)=N/C1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1
Fenfluramine Hydrochloride,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,Hepatic necrosis,Human,-1.7781512503836436,Repeated,Oral,"FDA approval package document: Approval Package 020344 Part 03, page:74 PDF 4935k",https://www.pharmapendium.com/browse/fda/Fenfluramine Hydrochloride/1e51f483ee1984e55db2f8d473c42739?reference=74,1996.0,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F
Fingolimod Hydrochloride,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,Hepatic necrosis,Human,-1.3979400086720377,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022527/S-000 Part 05, page:4 PDF 786k",https://www.pharmapendium.com/browse/fda/Fingolimod Hydrochloride/c8b53d0c6a59022551398819a38f2a25?reference=4,2009.0,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1
Flucytosine,NC1=NC(=O)NC=C1F,Hepatic necrosis,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Label 017001/S-000, page:5 PDF 1236k",https://www.pharmapendium.com/browse/fda/Flucytosine/8b4c46f692806fc09b1eedcba617a43e?reference=5,2009.0,NC1=NC(=O)NC=C1F
Fluoxetine Hydrochloride,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,Hepatic necrosis,Human,-1.9030899869919435,Repeated,Oral,"FDA approval package document: Approval Package 021235/S-016 Part 02, page:11 PDF 786k",https://www.pharmapendium.com/browse/fda/Fluoxetine Hydrochloride/ee77486f1cbbd117644b276845664ac1?reference=11,2011.0,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
Flurbiprofen,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,Hepatic necrosis,Human,-2.4771212547196626,Repeated,Oral,"FDA approval package document: Label 018766/S-013, page:7 PDF 339k",https://www.pharmapendium.com/browse/fda/Flurbiprofen/42077615ee502ab6ea0ace4341e5e783?reference=7,2006.0,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
Fluvastatin Sodium,CC(C)N1C2=CC=CC=C2C(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O,Hepatic necrosis,Human,-1.9030899869919435,Repeated,Oral,"FDA approval package document: Approval Package 021192/S-019 Part 01, page:16 PDF 804k",https://www.pharmapendium.com/browse/fda/Fluvastatin Sodium/912bcb0c04151b62b35994f63183a4d8?reference=16,2012.0,CC(C)N1C2=CC=CC=C2C(C2=CC=C(F)C=C2)=C1\C=C\[CH](O)C[CH](O)CC([O-])=O
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,Hepatic necrosis,Human,-3.0791812460476247,Repeated,Oral,"FDA approval package document: Approval Package 020418 Part 01, page:19 PDF 5445k",https://www.pharmapendium.com/browse/fda/Ibuprofen/4768e9343291bb3125cc346a426033be?reference=19,1994.0,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,Hepatic necrosis,Human,-0.47712125471966244,Repeated,Oral,"FDA approval package document: Label 204768/S-000, page:6 PDF 513k",https://www.pharmapendium.com/browse/fda/Indomethacin/8739319fb80bf8712b81706fd68b8752?reference=6,2014.0,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
Ketoconazole,[H][C@]1(COC2=CC=C(C=C2)N2CCN(CC2)C(C)=O)CO[C@@](CN2C=CN=C2)(O1)C1=CC=C(Cl)C=C1Cl,Hepatic necrosis,Human,-3.0791812460476247,Repeated,Oral,"EMA approval document: ANNEX I, page:16 PDF 553k",https://www.pharmapendium.com/browse/ema/Ketoconazole/8d2315e4697688e9c94ee9b957e597c1?reference=16,2020.0,[H][C]1(COC2=CC=C(C=C2)N2CCN(CC2)C(C)=O)CO[C](CN2C=CN=C2)(O1)C1=CC=C(Cl)C=C1Cl
Lamotrigine,NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl,Hepatic necrosis,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020764/S-011; 020241/S-017, page:10 PDF 8619k",https://www.pharmapendium.com/browse/fda/Lamotrigine/30bccd2d7365b3185e386beaf5d60e1c?reference=10,2002.0,NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl
Leflunomide,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,Hepatic necrosis,Human,-1.3010299956639813,Repeated,Oral,"EMA approval document: ANNEX I, page:11 PDF 537k",https://www.pharmapendium.com/browse/ema/Leflunomide/077cdcb42d2e0e42459e7bdb0f787799?reference=11,2020.0,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F
Levofloxacin,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,Hepatic necrosis,Human,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 020634/S-028; 020635/S-027 Part 02, page:15 PDF 6495k",https://www.pharmapendium.com/browse/fda/Levofloxacin/e94fce7c88287bb7fc2f839689e81b68?reference=15,2003.0,C[CH]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
Lisinopril,[H][C@]1(CCCN1C(=O)[C@H](CCCCN)N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(O)=O,Hepatic necrosis,Human,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 019777/S-007, S-010, S-014, S-016, S-019, S-021, S-022, S-023, S-024, S-025; 019888/S-007, S-009, S-014, S-021; 019558 Part 18, page:5 PDF 3928k",https://www.pharmapendium.com/browse/fda/Lisinopril/5065f703a5236d6af5315bf1cf7784d4?reference=5,1988.0,[H][C]1(CCCN1C(=O)[CH](CCCCN)N[CH](CCC1=CC=CC=C1)C(O)=O)C(O)=O
Loratadine,CCOC(=O)N1CC\C(CC1)=C1\C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,Hepatic necrosis,Human,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 075822/S-000 Part 01, page:24 PDF 5555k",https://www.pharmapendium.com/browse/fda/Loratadine/539bc18269a66ffa31da73a7c296db78?reference=24,2003.0,CCOC(=O)N1CC\C(CC1)=C1\C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
Mercaptopurine,S=C1NC=NC2=C1NC=N2,Hepatic necrosis,Human,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Label 205919/S-000, page:4 PDF 1266k",https://www.pharmapendium.com/browse/fda/Mercaptopurine/c434c89bc8f0dc47ad8a93b7dfc72c7c?reference=4,2014.0,S=C1NC=NC2=C1NC=N2
Mesalamine,NC1=CC(C(O)=O)=C(O)C=C1,Hepatic necrosis,Human,-3.6989700043360187,Repeated,Oral,"FDA approval package document: Label 022301/S-000, page:6 PDF 882k",https://www.pharmapendium.com/browse/fda/Mesalamine/5851436c18a73308bd7a26b78b8b3870?reference=6,2008.0,NC1=CC(C(O)=O)=C(O)C=C1
Milnacipran Hydrochloride,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C1=CC=CC=C1,Hepatic necrosis,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022256/S-000 Part 02, page:15 PDF 6827k",https://www.pharmapendium.com/browse/fda/Milnacipran Hydrochloride/4c84f50c0997fbb4cfe3c70b7e24504a?reference=15,2008.0,CCN(CC)C(=O)[C]1(C[CH]1CN)C1=CC=CC=C1
Naproxen Sodium,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C([O-])=O,Hepatic necrosis,Human,-3.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 020204 Part 08, page:50 PDF 4036k",https://www.pharmapendium.com/browse/fda/Naproxen Sodium/de3eff60014b38d06bfc8bc6dca72790?reference=50,1994.0,COC1=CC2=CC=C(C=C2C=C1)[CH](C)C([O-])=O
Nevirapine,CC1=CC=NC2=C1NC(=O)C1=C(N=CC=C1)N2C1CC1,Hepatic necrosis,Human,-2.6020599913279625,Repeated,Oral,"FDA approval package document: Label 201152/S-000, page:4 PDF 507k",https://www.pharmapendium.com/browse/fda/Nevirapine/18b79028e6ff80260708a5a806a0b4ce?reference=4,2011.0,CC1=CC=NC2=C1NC(=O)C1=C(N=CC=C1)N2C1CC1
"Nitrofurantoin, Macrocrystalline",O=C1CN(C(=O)N1)\N=C\C1=CC=C(O1)N(=O)=O,Hepatic necrosis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 016620/S-064, page:33 PDF 2554k","https://www.pharmapendium.com/browse/fda/Nitrofurantoin, Macrocrystalline/87b6846f59ea68c204bf40dd016affea?reference=33",2003.0,O=C1CN(C(=O)N1)\N=C\C1=CC=C(O1)N(=O)=O
Nomifensine,CN1CC(C2=CC=CC=C2)C2=C(C1)C(N)=CC=C2,Hepatic necrosis,Human,-2.0,Repeated,Oral,"FDA approval package document: Approval Package 018224 Part 02, page:36 PDF 3804k",https://www.pharmapendium.com/browse/fda/Nomifensine/e446c3328772dca77a06d98942f108c6?reference=36,1984.0,CN1CC(C2=CC=CC=C2)C2=C(C1)C(N)=CC=C2
Norfloxacin,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,Hepatic necrosis,Human,-3.2041199826559246,Repeated,Oral,"FDA approval package document: Label 019384/S-046, page:10 PDF 279k",https://www.pharmapendium.com/browse/fda/Norfloxacin/21fa7ecd5643d5f4700e00dbc15ed3f0?reference=10,2006.0,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1
Ofloxacin,CC1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,Hepatic necrosis,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 019735/S-002, S-005, S-006, S-017, S-024, S-035, S-041, S-042; 020087/S-017 Part 01, page:39 PDF 3206k",https://www.pharmapendium.com/browse/fda/Ofloxacin/dbcf4a31b6476b17067d747511e4de65?reference=39,1990.0,CC1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
Omeprazole,COC1=CC=C2NC(=NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C,Hepatic necrosis,Human,-1.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 019810/S-002, S-007, S-036, S-037, S-009, S-010, S-022, S-035, S-019, S-023, S-025, S-033, S-034; 050662/S-010 Part 21, page:44 PDF 6127k",https://www.pharmapendium.com/browse/fda/Omeprazole/1f18354d13e32eec8cbbb691e34fed35?reference=44,1990.0,COC1=CC=C2NC(=NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C
Omeprazole Magnesium,COC1=CC=C2[N-]C(=NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C,Hepatic necrosis,Human,-1.6020599913279623,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021229/S-000, page:365 PDF 20401k",https://www.pharmapendium.com/browse/fda/Omeprazole Magnesium/42ffe48b5d32d8a231f5c085c007aa78?reference=365,2003.0,COC1=CC=C2[N-]C(=NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C
Oxcarbazepine,NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12,Hepatic necrosis,Human,-3.380211241711606,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021014/S-000 Part 04, page:13 PDF 1411k",https://www.pharmapendium.com/browse/fda/Oxcarbazepine/33b02ae988c0ac1111e4615f2155df96?reference=13,1999.0,NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12
Paroxetine Hydrochloride,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,Hepatic necrosis,Human,-1.8750612633917,Repeated,Oral,"FDA approval package document: Approval Package 077873/S-000 Part 03, page:1 PDF 412k",https://www.pharmapendium.com/browse/fda/Paroxetine Hydrochloride/a509e558c60afc1d47a8429b40106097?reference=1,2007.0,FC1=CC=C(C=C1)[CH]1CCNC[CH]1COC1=CC=C2OCOC2=C1
Pazopanib Hydrochloride,CN1N=C2C=C(C=CC2=C1C)N(C)C1=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=NC=C1,Hepatic necrosis,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022465/S-000, page:10 PDF 1560k",https://www.pharmapendium.com/browse/fda/Pazopanib Hydrochloride/893f6f8879191ff31ae434f60b8e4e98?reference=10,2009.0,CN1N=C2C=C(C=CC2=C1C)N(C)C1=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=NC=C1
Ponatinib Hydrochloride,CN1CCN(CC1)CC1=C(C=C(NC(=O)C2=CC(C#CC3=CN=C4C=CC=NN34)=C(C)C=C2)C=C1)C(F)(F)F,Hepatic necrosis,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 203469/S-000 Part 06, page:7 PDF 1752k",https://www.pharmapendium.com/browse/fda/Ponatinib Hydrochloride/6ba0cf1dd0203d9b5f4a5e4470ffbb65?reference=7,2012.0,CN1CCN(CC1)CC1=C(C=C(NC(=O)C2=CC(C#CC3=CN=C4C=CC=NN34)=C(C)C=C2)C=C1)C(F)(F)F
Posaconazole,CC[C@@H]([C@H](C)O)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@@](C2)(CN2C=NC=N2)C2=C(F)C=C(F)C=C2)C=C1,Hepatic necrosis,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022003/S-000, page:125 PDF 8671k",https://www.pharmapendium.com/browse/fda/Posaconazole/f5037214d79cab10872dcc1e689683b6?reference=125,2005.0,CC[CH]([CH](C)O)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[CH]2CO[C](C2)(CN2C=NC=N2)C2=C(F)C=C(F)C=C2)C=C1
Pravastatin Sodium,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC([O-])=O)OC(=O)[C@@H](C)CC,Hepatic necrosis,Human,-1.6020599913279623,Repeated,Oral,"FDA approval package document: Approval Package 019898/S-050, page:6 PDF 4062k",https://www.pharmapendium.com/browse/fda/Pravastatin Sodium/108a6de2bc9734d7224a77deebc2b034?reference=6,2002.0,[H][C]12[CH](C[CH](O)C=C1C=C[CH](C)[CH]2CC[CH](O)C[CH](O)CC([O-])=O)OC(=O)[CH](C)CC
Ranitidine Hydrochloride,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C\N(=O)=O,Hepatic necrosis,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 020520 Part 03, page:4 PDF 5798k",https://www.pharmapendium.com/browse/fda/Ranitidine Hydrochloride/644ed0156acbfc424c09986190f78985?reference=4,1995.0,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C\N(=O)=O
Regorafenib,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,Hepatic necrosis,Human,-2.2041199826559246,Repeated,Oral,"EMA approval document: ANNEX I, page:12 PDF 603k",https://www.pharmapendium.com/browse/ema/Regorafenib/2f17a7d58f91a4eaf1e7821065811ded?reference=12,2019.0,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
